document_id,product_id,document_type,title,content,category,region,language,version,effective_date,last_updated
DOC-0001,PROD-008,Benefit Schedule,AIA Property Elite Plan - Benefit Schedule,"The benefit schedule for AIA Property Elite Plan includes: Room & Board - up to USD 460/day, ICU - up to USD 664/day, Surgical fees - up to USD 40158, Annual limit - USD 276,536.25.",Property,Thailand,Vietnamese,v4.3,2023-10-07,2025-05-03
DOC-0002,PROD-015,Product Disclosure Sheet,AIA Accident Premium Protect - Product Disclosure Sheet,"AIA Accident Premium Protect is a Accident insurance product designed to provide financial protection. Base annual premium starts from USD 476.34. Key benefits include coverage for hospitalization, surgery, and outpatient treatments.",Accident,Indonesia,Chinese,v3.2,2023-11-21,2024-03-16
DOC-0003,PROD-001,Product Disclosure Sheet,AIA Life Premium Cover - Product Disclosure Sheet,"AIA Life Premium Cover is a Life insurance product designed to provide financial protection. Base annual premium starts from USD 3,377.42. Key benefits include coverage for hospitalization, surgery, and outpatient treatments.",Life,Malaysia,Thai,v2.4,2020-06-15,2023-12-15
DOC-0004,PROD-002,Policy Wording,AIA Life Elite Protect - Policy Wording,"This AIA Life Elite Protect policy provides coverage for life insurance. The maximum coverage amount is USD 97,473.54. Entry age ranges from 18 to 65 years. The policy term is 20 year(s). Available in the following regions: Mainland China,Indonesia,Hong Kong,Philippines,Malaysia,Taiwan,South Korea,Singapore.",Life,Malaysia,Thai,v4.5,2024-09-12,2024-11-29
DOC-0005,PROD-016,Product Disclosure Sheet,AIA Accident Elite Shield - Product Disclosure Sheet,"AIA Accident Elite Shield is a Accident insurance product designed to provide financial protection. Base annual premium starts from USD 757.25. Key benefits include coverage for hospitalization, surgery, and outpatient treatments.",Accident,Taiwan,English,v2.8,2024-06-05,2024-12-15
DOC-0006,PROD-012,Underwriting Guidelines,AIA Investment-Linked Elite Plan - Underwriting Guidelines,"Underwriting guidelines for AIA Investment-Linked Elite Plan: Standard class: BMI 18.5-27.5, no major pre-existing conditions. Preferred class: BMI 18.5-25, excellent health history, non-smoker. Substandard class: May require additional premium loading of 45%.",Investment-Linked,Hong Kong,Thai,v2.1,2024-06-20,2025-12-06
DOC-0007,PROD-016,Benefit Schedule,AIA Accident Elite Shield - Benefit Schedule,"The benefit schedule for AIA Accident Elite Shield includes: Room & Board - up to USD 324/day, ICU - up to USD 1948/day, Surgical fees - up to USD 31271, Annual limit - USD 67,902.61.",Accident,Taiwan,English,v5.3,2024-05-18,2024-07-20
DOC-0008,PROD-013,Claims Procedure Guide,AIA Critical Illness Premium Plan - Claims Procedure Guide,"To file a claim under AIA Critical Illness Premium Plan: 1. Notify AIA within 30 days of the event. 2. Complete the claim form and attach supporting documents. 3. Submit via AIA mobile app, web portal, or your agent. 4. Claims are typically processed within 5-15 business days. 5. Payment is made via bank transfer to the registered account.",Critical Illness,Thailand,English,v4.7,2024-04-21,2023-06-10
DOC-0009,PROD-001,Benefit Schedule,AIA Life Premium Cover - Benefit Schedule,"The benefit schedule for AIA Life Premium Cover includes: Room & Board - up to USD 376/day, ICU - up to USD 618/day, Surgical fees - up to USD 26353, Annual limit - USD 184,972.55.",Life,Malaysia,Chinese,v3.6,2020-05-11,2024-04-20
DOC-0010,PROD-012,Underwriting Guidelines,AIA Investment-Linked Elite Plan - Underwriting Guidelines,"Underwriting guidelines for AIA Investment-Linked Elite Plan: Standard class: BMI 18.5-27.5, no major pre-existing conditions. Preferred class: BMI 18.5-25, excellent health history, non-smoker. Substandard class: May require additional premium loading of 77%.",Investment-Linked,Vietnam,Vietnamese,v1.0,2024-11-11,2025-12-08
DOC-0011,PROD-011,Policy Wording,AIA Investment-Linked Premium Plan - Policy Wording,"This AIA Investment-Linked Premium Plan policy provides coverage for investment-linked insurance. The maximum coverage amount is USD 446,834.20. Entry age ranges from 18 to 75 years. The policy term is 30 year(s). Available in the following regions: Malaysia,Mainland China,South Korea,Singapore,Taiwan,Vietnam.",Investment-Linked,Mainland China,Thai,v1.2,2022-02-10,2024-01-04
DOC-0012,PROD-003,Underwriting Guidelines,AIA Health Premium Protect - Underwriting Guidelines,"Underwriting guidelines for AIA Health Premium Protect: Standard class: BMI 18.5-27.5, no major pre-existing conditions. Preferred class: BMI 18.5-25, excellent health history, non-smoker. Substandard class: May require additional premium loading of 76%.",Health,Indonesia,Malay,v4.8,2022-01-25,2023-05-02
DOC-0013,PROD-002,Benefit Schedule,AIA Life Elite Protect - Benefit Schedule,"The benefit schedule for AIA Life Elite Protect includes: Room & Board - up to USD 222/day, ICU - up to USD 837/day, Surgical fees - up to USD 46621, Annual limit - USD 97,473.54.",Life,Singapore,Vietnamese,v3.8,2023-10-30,2023-11-10
DOC-0014,PROD-011,Underwriting Guidelines,AIA Investment-Linked Premium Plan - Underwriting Guidelines,"Underwriting guidelines for AIA Investment-Linked Premium Plan: Standard class: BMI 18.5-27.5, no major pre-existing conditions. Preferred class: BMI 18.5-25, excellent health history, non-smoker. Substandard class: May require additional premium loading of 63%.",Investment-Linked,Singapore,Malay,v5.3,2020-03-01,2024-03-04
DOC-0015,PROD-009,Exclusion List,AIA Travel Premium Protect - Exclusion List,"The following are excluded from AIA Travel Premium Protect coverage: pre-existing conditions within the first 12 months, self-inflicted injuries, participation in hazardous activities, cosmetic surgery, dental treatment (unless caused by accident), and war or terrorism.",Travel,Singapore,Vietnamese,v1.5,2023-04-09,2025-04-12
DOC-0016,PROD-007,FAQ,AIA Property Premium Shield - FAQ,"Frequently asked questions about AIA Property Premium Shield: Q: What is the waiting period? A: 30 days for illness-related claims. Q: Can I add riders? A: Yes, riders such as Waiver of Premium and Critical Illness are available. Q: What is the grace period for premium payment? A: 30 days from the due date.",Property,South Korea,English,v1.9,2024-11-28,2025-12-05
DOC-0017,PROD-008,Product Disclosure Sheet,AIA Property Elite Plan - Product Disclosure Sheet,"AIA Property Elite Plan is a Property insurance product designed to provide financial protection. Base annual premium starts from USD 1,730.66. Key benefits include coverage for hospitalization, surgery, and outpatient treatments.",Property,Taiwan,English,v3.0,2023-07-09,2024-08-15
DOC-0018,PROD-013,FAQ,AIA Critical Illness Premium Plan - FAQ,"Frequently asked questions about AIA Critical Illness Premium Plan: Q: What is the waiting period? A: 90 days for illness-related claims. Q: Can I add riders? A: Yes, riders such as Waiver of Premium and Critical Illness are available. Q: What is the grace period for premium payment? A: 31 days from the due date.",Critical Illness,Indonesia,English,v1.1,2020-02-25,2023-08-08
DOC-0019,PROD-014,Claims Procedure Guide,AIA Critical Illness Elite Plan - Claims Procedure Guide,"To file a claim under AIA Critical Illness Elite Plan: 1. Notify AIA within 30 days of the event. 2. Complete the claim form and attach supporting documents. 3. Submit via AIA mobile app, web portal, or your agent. 4. Claims are typically processed within 5-15 business days. 5. Payment is made via bank transfer to the registered account.",Critical Illness,Vietnam,Chinese,v1.4,2022-03-05,2024-08-08
DOC-0020,PROD-013,Product Disclosure Sheet,AIA Critical Illness Premium Plan - Product Disclosure Sheet,"AIA Critical Illness Premium Plan is a Critical Illness insurance product designed to provide financial protection. Base annual premium starts from USD 1,083.63. Key benefits include coverage for hospitalization, surgery, and outpatient treatments.",Critical Illness,Taiwan,Malay,v3.9,2020-10-02,2024-06-29
DOC-0021,PROD-008,Policy Wording,AIA Property Elite Plan - Policy Wording,"This AIA Property Elite Plan policy provides coverage for property insurance. The maximum coverage amount is USD 276,536.25. Entry age ranges from 18 to 75 years. The policy term is 1 year(s). Available in the following regions: South Korea,Taiwan,Thailand,Mainland China,Indonesia.",Property,Indonesia,Thai,v4.3,2024-07-02,2025-08-15
DOC-0022,PROD-013,Product Disclosure Sheet,AIA Critical Illness Premium Plan - Product Disclosure Sheet,"AIA Critical Illness Premium Plan is a Critical Illness insurance product designed to provide financial protection. Base annual premium starts from USD 1,083.63. Key benefits include coverage for hospitalization, surgery, and outpatient treatments.",Critical Illness,Taiwan,English,v1.2,2023-04-06,2024-02-23
DOC-0023,PROD-016,FAQ,AIA Accident Elite Shield - FAQ,"Frequently asked questions about AIA Accident Elite Shield: Q: What is the waiting period? A: 90 days for illness-related claims. Q: Can I add riders? A: Yes, riders such as Waiver of Premium and Critical Illness are available. Q: What is the grace period for premium payment? A: 31 days from the due date.",Accident,Indonesia,English,v3.2,2024-08-28,2023-10-08
DOC-0024,PROD-014,Benefit Schedule,AIA Critical Illness Elite Plan - Benefit Schedule,"The benefit schedule for AIA Critical Illness Elite Plan includes: Room & Board - up to USD 915/day, ICU - up to USD 1005/day, Surgical fees - up to USD 43958, Annual limit - USD 515,185.46.",Critical Illness,Singapore,Chinese,v3.9,2023-05-21,2024-11-02
DOC-0025,PROD-005,Product Disclosure Sheet,AIA Motor Premium Shield - Product Disclosure Sheet,"AIA Motor Premium Shield is a Motor insurance product designed to provide financial protection. Base annual premium starts from USD 1,133.29. Key benefits include coverage for hospitalization, surgery, and outpatient treatments.",Motor,Vietnam,Thai,v4.7,2023-09-12,2024-10-31
DOC-0026,PROD-015,Claims Procedure Guide,AIA Accident Premium Protect - Claims Procedure Guide,"To file a claim under AIA Accident Premium Protect: 1. Notify AIA within 30 days of the event. 2. Complete the claim form and attach supporting documents. 3. Submit via AIA mobile app, web portal, or your agent. 4. Claims are typically processed within 5-15 business days. 5. Payment is made via bank transfer to the registered account.",Accident,Indonesia,Malay,v1.7,2021-01-17,2023-12-18
DOC-0027,PROD-016,Exclusion List,AIA Accident Elite Shield - Exclusion List,"The following are excluded from AIA Accident Elite Shield coverage: pre-existing conditions within the first 12 months, self-inflicted injuries, participation in hazardous activities, cosmetic surgery, dental treatment (unless caused by accident), and war or terrorism.",Accident,Singapore,Malay,v2.4,2024-02-08,2023-03-20
DOC-0028,PROD-001,Benefit Schedule,AIA Life Premium Cover - Benefit Schedule,"The benefit schedule for AIA Life Premium Cover includes: Room & Board - up to USD 840/day, ICU - up to USD 799/day, Surgical fees - up to USD 7770, Annual limit - USD 184,972.55.",Life,Taiwan,Thai,v2.3,2023-11-26,2023-02-16
DOC-0029,PROD-007,Benefit Schedule,AIA Property Premium Shield - Benefit Schedule,"The benefit schedule for AIA Property Premium Shield includes: Room & Board - up to USD 632/day, ICU - up to USD 1934/day, Surgical fees - up to USD 44450, Annual limit - USD 87,579.46.",Property,Philippines,Malay,v2.4,2024-08-19,2023-09-21
DOC-0030,PROD-014,Benefit Schedule,AIA Critical Illness Elite Plan - Benefit Schedule,"The benefit schedule for AIA Critical Illness Elite Plan includes: Room & Board - up to USD 252/day, ICU - up to USD 1743/day, Surgical fees - up to USD 14862, Annual limit - USD 515,185.46.",Critical Illness,South Korea,Malay,v4.6,2021-03-02,2024-10-05
DOC-0031,PROD-008,Underwriting Guidelines,AIA Property Elite Plan - Underwriting Guidelines,"Underwriting guidelines for AIA Property Elite Plan: Standard class: BMI 18.5-27.5, no major pre-existing conditions. Preferred class: BMI 18.5-25, excellent health history, non-smoker. Substandard class: May require additional premium loading of 51%.",Property,Thailand,Chinese,v3.7,2020-10-26,2023-02-03
DOC-0032,PROD-007,Underwriting Guidelines,AIA Property Premium Shield - Underwriting Guidelines,"Underwriting guidelines for AIA Property Premium Shield: Standard class: BMI 18.5-27.5, no major pre-existing conditions. Preferred class: BMI 18.5-25, excellent health history, non-smoker. Substandard class: May require additional premium loading of 38%.",Property,Mainland China,English,v4.1,2023-11-10,2023-12-16
DOC-0033,PROD-009,FAQ,AIA Travel Premium Protect - FAQ,"Frequently asked questions about AIA Travel Premium Protect: Q: What is the waiting period? A: 30 days for illness-related claims. Q: Can I add riders? A: Yes, riders such as Waiver of Premium and Critical Illness are available. Q: What is the grace period for premium payment? A: 30 days from the due date.",Travel,Malaysia,Thai,v3.7,2023-03-26,2025-05-13
DOC-0034,PROD-014,Benefit Schedule,AIA Critical Illness Elite Plan - Benefit Schedule,"The benefit schedule for AIA Critical Illness Elite Plan includes: Room & Board - up to USD 926/day, ICU - up to USD 1437/day, Surgical fees - up to USD 8517, Annual limit - USD 515,185.46.",Critical Illness,Vietnam,Vietnamese,v5.5,2020-09-26,2023-12-30
DOC-0035,PROD-012,Policy Wording,AIA Investment-Linked Elite Plan - Policy Wording,"This AIA Investment-Linked Elite Plan policy provides coverage for investment-linked insurance. The maximum coverage amount is USD 1,162,901.11. Entry age ranges from 18 to 75 years. The policy term is 10 year(s). Available in the following regions: South Korea,Malaysia,Vietnam,Hong Kong,Singapore,Taiwan,Mainland China,Philippines,Thailand,Indonesia.",Investment-Linked,Taiwan,English,v2.2,2024-12-19,2023-03-22
DOC-0036,PROD-015,Underwriting Guidelines,AIA Accident Premium Protect - Underwriting Guidelines,"Underwriting guidelines for AIA Accident Premium Protect: Standard class: BMI 18.5-27.5, no major pre-existing conditions. Preferred class: BMI 18.5-25, excellent health history, non-smoker. Substandard class: May require additional premium loading of 33%.",Accident,Indonesia,English,v4.1,2020-02-25,2025-09-15
DOC-0037,PROD-011,Product Disclosure Sheet,AIA Investment-Linked Premium Plan - Product Disclosure Sheet,"AIA Investment-Linked Premium Plan is a Investment-Linked insurance product designed to provide financial protection. Base annual premium starts from USD 7,561.68. Key benefits include coverage for hospitalization, surgery, and outpatient treatments.",Investment-Linked,Taiwan,English,v5.5,2022-02-27,2024-10-25
DOC-0038,PROD-008,Underwriting Guidelines,AIA Property Elite Plan - Underwriting Guidelines,"Underwriting guidelines for AIA Property Elite Plan: Standard class: BMI 18.5-27.5, no major pre-existing conditions. Preferred class: BMI 18.5-25, excellent health history, non-smoker. Substandard class: May require additional premium loading of 70%.",Property,Mainland China,Thai,v2.4,2024-06-16,2025-09-16
DOC-0039,PROD-013,Product Disclosure Sheet,AIA Critical Illness Premium Plan - Product Disclosure Sheet,"AIA Critical Illness Premium Plan is a Critical Illness insurance product designed to provide financial protection. Base annual premium starts from USD 1,083.63. Key benefits include coverage for hospitalization, surgery, and outpatient treatments.",Critical Illness,South Korea,Chinese,v5.8,2023-09-29,2025-07-22
DOC-0040,PROD-016,Claims Procedure Guide,AIA Accident Elite Shield - Claims Procedure Guide,"To file a claim under AIA Accident Elite Shield: 1. Notify AIA within 30 days of the event. 2. Complete the claim form and attach supporting documents. 3. Submit via AIA mobile app, web portal, or your agent. 4. Claims are typically processed within 5-15 business days. 5. Payment is made via bank transfer to the registered account.",Accident,Indonesia,Vietnamese,v3.5,2020-10-03,2024-08-13
DOC-0041,PROD-006,Product Disclosure Sheet,AIA Motor Elite Protect - Product Disclosure Sheet,"AIA Motor Elite Protect is a Motor insurance product designed to provide financial protection. Base annual premium starts from USD 407.98. Key benefits include coverage for hospitalization, surgery, and outpatient treatments.",Motor,Hong Kong,Thai,v1.1,2020-10-18,2025-06-15
DOC-0042,PROD-005,Exclusion List,AIA Motor Premium Shield - Exclusion List,"The following are excluded from AIA Motor Premium Shield coverage: pre-existing conditions within the first 12 months, self-inflicted injuries, participation in hazardous activities, cosmetic surgery, dental treatment (unless caused by accident), and war or terrorism.",Motor,Malaysia,Thai,v2.9,2021-06-06,2024-01-11
DOC-0043,PROD-008,Product Disclosure Sheet,AIA Property Elite Plan - Product Disclosure Sheet,"AIA Property Elite Plan is a Property insurance product designed to provide financial protection. Base annual premium starts from USD 1,730.66. Key benefits include coverage for hospitalization, surgery, and outpatient treatments.",Property,Taiwan,Thai,v3.9,2022-09-22,2023-10-21
DOC-0044,PROD-013,Policy Wording,AIA Critical Illness Premium Plan - Policy Wording,"This AIA Critical Illness Premium Plan policy provides coverage for critical illness insurance. The maximum coverage amount is USD 148,324.39. Entry age ranges from 18 to 65 years. The policy term is 1 year(s). Available in the following regions: Hong Kong,Mainland China,South Korea,Indonesia,Vietnam,Singapore,Taiwan,Thailand.",Critical Illness,Singapore,Thai,v4.4,2022-01-28,2025-09-15
DOC-0045,PROD-015,Exclusion List,AIA Accident Premium Protect - Exclusion List,"The following are excluded from AIA Accident Premium Protect coverage: pre-existing conditions within the first 12 months, self-inflicted injuries, participation in hazardous activities, cosmetic surgery, dental treatment (unless caused by accident), and war or terrorism.",Accident,Indonesia,Vietnamese,v4.4,2021-01-05,2024-06-27
DOC-0046,PROD-001,Product Disclosure Sheet,AIA Life Premium Cover - Product Disclosure Sheet,"AIA Life Premium Cover is a Life insurance product designed to provide financial protection. Base annual premium starts from USD 3,377.42. Key benefits include coverage for hospitalization, surgery, and outpatient treatments.",Life,Malaysia,Chinese,v3.6,2022-03-18,2024-06-24
DOC-0047,PROD-012,Claims Procedure Guide,AIA Investment-Linked Elite Plan - Claims Procedure Guide,"To file a claim under AIA Investment-Linked Elite Plan: 1. Notify AIA within 30 days of the event. 2. Complete the claim form and attach supporting documents. 3. Submit via AIA mobile app, web portal, or your agent. 4. Claims are typically processed within 5-15 business days. 5. Payment is made via bank transfer to the registered account.",Investment-Linked,Indonesia,Vietnamese,v3.5,2021-03-14,2023-05-21
DOC-0048,PROD-006,Product Disclosure Sheet,AIA Motor Elite Protect - Product Disclosure Sheet,"AIA Motor Elite Protect is a Motor insurance product designed to provide financial protection. Base annual premium starts from USD 407.98. Key benefits include coverage for hospitalization, surgery, and outpatient treatments.",Motor,Malaysia,Malay,v2.8,2023-04-28,2024-09-14
DOC-0049,PROD-004,Benefit Schedule,AIA Health Elite Shield - Benefit Schedule,"The benefit schedule for AIA Health Elite Shield includes: Room & Board - up to USD 522/day, ICU - up to USD 1458/day, Surgical fees - up to USD 26544, Annual limit - USD 327,613.00.",Health,Mainland China,English,v3.7,2022-11-15,2023-02-17
DOC-0050,PROD-011,Policy Wording,AIA Investment-Linked Premium Plan - Policy Wording,"This AIA Investment-Linked Premium Plan policy provides coverage for investment-linked insurance. The maximum coverage amount is USD 446,834.20. Entry age ranges from 18 to 75 years. The policy term is 30 year(s). Available in the following regions: Malaysia,Mainland China,South Korea,Singapore,Taiwan,Vietnam.",Investment-Linked,Singapore,Chinese,v4.9,2022-09-12,2024-07-14
DOC-0051,PROD-016,Benefit Schedule,AIA Accident Elite Shield - Benefit Schedule,"The benefit schedule for AIA Accident Elite Shield includes: Room & Board - up to USD 460/day, ICU - up to USD 1968/day, Surgical fees - up to USD 45534, Annual limit - USD 67,902.61.",Accident,Thailand,Chinese,v5.8,2023-12-24,2025-10-25
DOC-0052,PROD-001,Claims Procedure Guide,AIA Life Premium Cover - Claims Procedure Guide,"To file a claim under AIA Life Premium Cover: 1. Notify AIA within 30 days of the event. 2. Complete the claim form and attach supporting documents. 3. Submit via AIA mobile app, web portal, or your agent. 4. Claims are typically processed within 5-15 business days. 5. Payment is made via bank transfer to the registered account.",Life,Taiwan,English,v1.2,2021-10-28,2025-05-01
DOC-0053,PROD-016,Product Disclosure Sheet,AIA Accident Elite Shield - Product Disclosure Sheet,"AIA Accident Elite Shield is a Accident insurance product designed to provide financial protection. Base annual premium starts from USD 757.25. Key benefits include coverage for hospitalization, surgery, and outpatient treatments.",Accident,Indonesia,Chinese,v4.0,2021-09-09,2023-01-02
DOC-0054,PROD-009,Exclusion List,AIA Travel Premium Protect - Exclusion List,"The following are excluded from AIA Travel Premium Protect coverage: pre-existing conditions within the first 12 months, self-inflicted injuries, participation in hazardous activities, cosmetic surgery, dental treatment (unless caused by accident), and war or terrorism.",Travel,Mainland China,Vietnamese,v1.7,2024-02-04,2023-01-14
DOC-0055,PROD-016,Policy Wording,AIA Accident Elite Shield - Policy Wording,"This AIA Accident Elite Shield policy provides coverage for accident insurance. The maximum coverage amount is USD 67,902.61. Entry age ranges from 18 to 75 years. The policy term is 1 year(s). Available in the following regions: Indonesia,Malaysia,Philippines,Singapore,South Korea,Thailand,Taiwan.",Accident,Philippines,English,v4.1,2024-02-20,2025-07-13
DOC-0056,PROD-003,Benefit Schedule,AIA Health Premium Protect - Benefit Schedule,"The benefit schedule for AIA Health Premium Protect includes: Room & Board - up to USD 333/day, ICU - up to USD 1887/day, Surgical fees - up to USD 28415, Annual limit - USD 215,896.49.",Health,Mainland China,Chinese,v4.3,2022-08-24,2023-12-01
DOC-0057,PROD-012,Product Disclosure Sheet,AIA Investment-Linked Elite Plan - Product Disclosure Sheet,"AIA Investment-Linked Elite Plan is a Investment-Linked insurance product designed to provide financial protection. Base annual premium starts from USD 5,952.93. Key benefits include coverage for hospitalization, surgery, and outpatient treatments.",Investment-Linked,Indonesia,Malay,v2.8,2024-06-27,2024-06-01
DOC-0058,PROD-011,Underwriting Guidelines,AIA Investment-Linked Premium Plan - Underwriting Guidelines,"Underwriting guidelines for AIA Investment-Linked Premium Plan: Standard class: BMI 18.5-27.5, no major pre-existing conditions. Preferred class: BMI 18.5-25, excellent health history, non-smoker. Substandard class: May require additional premium loading of 98%.",Investment-Linked,Taiwan,Thai,v5.3,2024-06-20,2023-04-20
DOC-0059,PROD-013,Product Disclosure Sheet,AIA Critical Illness Premium Plan - Product Disclosure Sheet,"AIA Critical Illness Premium Plan is a Critical Illness insurance product designed to provide financial protection. Base annual premium starts from USD 1,083.63. Key benefits include coverage for hospitalization, surgery, and outpatient treatments.",Critical Illness,Taiwan,English,v2.6,2023-01-27,2024-09-20
DOC-0060,PROD-016,Exclusion List,AIA Accident Elite Shield - Exclusion List,"The following are excluded from AIA Accident Elite Shield coverage: pre-existing conditions within the first 12 months, self-inflicted injuries, participation in hazardous activities, cosmetic surgery, dental treatment (unless caused by accident), and war or terrorism.",Accident,South Korea,English,v2.2,2021-04-05,2024-03-05
DOC-0061,PROD-004,Underwriting Guidelines,AIA Health Elite Shield - Underwriting Guidelines,"Underwriting guidelines for AIA Health Elite Shield: Standard class: BMI 18.5-27.5, no major pre-existing conditions. Preferred class: BMI 18.5-25, excellent health history, non-smoker. Substandard class: May require additional premium loading of 82%.",Health,Thailand,Chinese,v4.4,2020-12-29,2023-08-12
DOC-0062,PROD-010,Exclusion List,AIA Travel Elite Protect - Exclusion List,"The following are excluded from AIA Travel Elite Protect coverage: pre-existing conditions within the first 12 months, self-inflicted injuries, participation in hazardous activities, cosmetic surgery, dental treatment (unless caused by accident), and war or terrorism.",Travel,Taiwan,Vietnamese,v2.7,2023-07-15,2023-09-06
DOC-0063,PROD-008,Underwriting Guidelines,AIA Property Elite Plan - Underwriting Guidelines,"Underwriting guidelines for AIA Property Elite Plan: Standard class: BMI 18.5-27.5, no major pre-existing conditions. Preferred class: BMI 18.5-25, excellent health history, non-smoker. Substandard class: May require additional premium loading of 68%.",Property,Indonesia,Chinese,v5.7,2020-08-21,2024-02-26
DOC-0064,PROD-005,Product Disclosure Sheet,AIA Motor Premium Shield - Product Disclosure Sheet,"AIA Motor Premium Shield is a Motor insurance product designed to provide financial protection. Base annual premium starts from USD 1,133.29. Key benefits include coverage for hospitalization, surgery, and outpatient treatments.",Motor,Mainland China,English,v3.1,2021-05-23,2023-06-16
DOC-0065,PROD-010,Benefit Schedule,AIA Travel Elite Protect - Benefit Schedule,"The benefit schedule for AIA Travel Elite Protect includes: Room & Board - up to USD 642/day, ICU - up to USD 1446/day, Surgical fees - up to USD 35322, Annual limit - USD 22,343.36.",Travel,Philippines,Chinese,v2.9,2024-07-24,2025-06-29
DOC-0066,PROD-011,Policy Wording,AIA Investment-Linked Premium Plan - Policy Wording,"This AIA Investment-Linked Premium Plan policy provides coverage for investment-linked insurance. The maximum coverage amount is USD 446,834.20. Entry age ranges from 18 to 75 years. The policy term is 30 year(s). Available in the following regions: Malaysia,Mainland China,South Korea,Singapore,Taiwan,Vietnam.",Investment-Linked,South Korea,Vietnamese,v1.2,2024-07-06,2024-03-18
